# High-quality Arabidopsis PPIs dataset, a total of 11858 PPIs.
Protein1	Protein2
O23320	Q9FM43
O23320	P27450
O23320	Q9SYS3
O23320	Q9LYL6
O23320	Q9SYP2
O23320	O65469
O23320	Q8H1D6
O23320	O48814
O23320	Q9SGN7
O23320	P93050
O23320	Q84MD8
O23320	Q9LKA4
O23145	O23320
O23320	Q39010
O23320	Q8GY88
O23320	Q8GYF5
O23320	Q8GY11
O23320	Q9SUP6
Q70E96	Q9S744
Q93Z30	Q9S744
Q9FGX2	Q9S744
Q9M2K4	Q9S744
Q9FMC2	Q9S744
Q9M7Q2	Q9S744
O22763	Q9S744
Q9FUD3	Q9S744
Q93Z27	Q9S744
Q8W490	Q9S744
Q42479	Q9S744
Q9LJL9	Q9S744
Q9M9V8	Q9S744
O64817	Q9S744
Q9MAB4	Q9S744
O65554	Q9S744
Q8LG64	Q9S744
Q9S744	Q9ZVM9
Q9S744	Q9SL70
Q9LX56	Q9S744
Q9LJY7	Q9S744
Q9S744	Q9SLP1
Q9S744	Q9SKN2
Q9S744	Q9ZPE4
Q8RWQ8	Q9S744
Q8LAW2	Q9S744
Q9FHZ1	Q9S744
Q9FL03	Q9S744
Q9S744	Q9S7H5
O81292	Q9S744
Q9S744	Q9SZJ6
Q4PSU4	Q9S744
Q38847	Q9S744
Q8RYD9	Q9S744
Q9FJK3	Q9S744
Q7XJK8	Q9S744
Q9C5C0	Q9S744
Q9S744	Q9T074
Q94AA4	Q9S744
Q9FIK0	Q9S744
P43294	Q9S744
Q9LHI7	Q9S744
Q9LW66	Q9S744
Q9LV04	Q9S744
P27450	Q9S744
Q9S744	Q9SYS3
Q9S744	Q9SSC7
Q9LYL6	Q9S744
Q9S744	Q9SYP2
O65469	Q9S744
Q8H1D6	Q9S744
O49839	Q9S744
O49840	Q9S744
Q9S744	Q9SGN7
Q9M9C5	Q9S744
Q9M8T0	Q9S744
P93050	Q9S744
O04567	Q9S744
Q9FLV4	Q9S744
O23145	Q9S744
Q39010	Q9S744
Q8GY88	Q9S744
Q8GYF5	Q9S744
Q8GY11	Q9S744
P30187	Q70E96
P30187	Q93Z30
P30187	Q9FGX2
P30187	Q9M2K4
P30187	Q9FMC2
P30187	Q9M7Q2
O22763	P30187
P30187	Q9FUD3
P30187	Q39162
P30187	Q93Z27
P30187	Q8W490
P30187	Q9SSF8
P30187	Q42479
P30187	Q9LJL9
O64817	P30187
P30187	Q39254
P30187	Q9LDI3
O65554	P30187
P30187	Q8LG64
P30187	Q9ZVM9
P30187	Q9SL70
P30187	Q9LX56
P30187	Q9LJY7
P30187	Q9SLP1
P30187	Q9SKN2
P30187	Q9C9Q4
P30187	Q9ZPE4
P30187	Q8RWQ8
P30187	Q84WW1
P30187	Q8LAW2
P30187	Q9FL03
P30187	P55737
P30187	Q9FHQ3
O81292	P30187
P30187	Q9SZJ6
P30187	Q4PSU4
P30187	Q38847
P30187	Q8RYD9
P30187	Q9FJK3
P30187	Q9C5C0
P30187	Q9SND6
P30187	Q9T074
P30187	Q9FIK0
P30187	P43294
P30187	Q9LHI7
P30187	Q9LV04
P27450	P30187
P30187	Q9SYS3
P30187	Q9SSC7
P30187	Q9LYL6
O65469	P30187
P30187	Q8H1D6
O49839	P30187
P30187	Q9SGN7
P30187	Q9M9C5
P30187	Q9M8T0
P30187	P93050
O04567	P30187
P30187	Q9FLV4
O23145	P30187
P30187	Q39010
P30187	Q8GY88
P30187	Q8GYF5
P30187	Q8GY11
P30187	Q9SUP6
P25071	Q93Z30
P25071	Q93Z27
P25071	Q9LPK5
P25071	Q9SSF8
P25071	Q42479
O64817	P25071
P25071	Q9C562
P25071	Q9LDI3
P25071	Q8LG64
P25071	Q9ZVM9
P22953	P25071
P25071	P55737
P25071	Q9FJV0
P25071	P43294
P25071	P27450
P25071	Q9FM43
P25071	Q8H1D6
P25071	Q7Y224
P25071	Q39019
O23145	P25071
P25071	Q39010
Q03509	Q70E96
Q03509	Q93Z30
Q03509	Q9CAG5
Q03509	Q9FGX2
Q03509	Q9M2K4
Q03509	Q9FMC2
Q03509	Q9M7Q2
O22763	Q03509
Q03509	Q9FUD3
Q03509	Q8W490
Q03509	Q93Z27
Q03509	Q9SSF8
Q03509	Q9LJL9
O64817	Q03509
Q03509	Q9LDI3
O65554	Q03509
Q03509	Q9ZVM9
Q03509	Q9SL70
Q03509	Q9LX56
Q03509	Q9LJY7
Q03509	Q9SLP1
Q03509	Q9SKN2
Q03509	Q9ZPE4
Q03509	Q8RWQ8
Q03509	Q9FL03
Q03509	Q9S7H5
O81292	Q03509
Q03509	Q9SZJ6
Q03509	Q4PSU4
Q03509	Q8RYD9
Q03509	Q9FJK3
Q03509	Q9C5C0
O22042	Q03509
Q03509	Q9LUI6
Q03509	Q9T074
Q03509	Q94AA4
Q03509	Q9FIK0
P43294	Q03509
Q03509	Q9LHI7
Q03509	Q9LW66
Q03509	Q9LV04
P27450	Q03509
Q03509	Q9SYS3
Q03509	Q9SSC7
Q03509	Q9LYL6
O65469	Q03509
Q03509	Q8H1D6
O49839	Q03509
Q03509	Q9SGN7
Q03509	Q9M9C5
Q03509	Q9M8T0
P93050	Q03509
O04567	Q03509
Q03509	Q9FLV4
O23145	Q03509
Q03509	Q39010
Q03509	Q8GY88
Q03509	Q8GYF5
Q03509	Q8GY11
P59220	Q70E96
P59220	Q93Z30
P59220	Q9M2K4
P59220	Q9FMC2
P59220	Q9M7Q2
O22763	P59220
P59220	Q9FUD3
P59220	Q93Z27
P59220	Q8W490
P59220	Q9LJL9
O64817	P59220
P59220	Q39254
O65554	P59220
P59220	Q9MAB4
P59220	Q8LG64
P59220	Q9SL70
P59220	Q9LX56
P59220	Q9LTM4
O81346	P59220
P59220	Q9LJY7
P59220	Q9SLP1
P59220	Q9SKN2
P59220	Q9ZPE4
P59220	Q8RWQ8
P59220	Q84WW1
P59220	Q8LAW2
P59220	Q9FHZ1
P59220	Q9FL03
P59220	Q9S7H5
O81292	P59220
P59220	Q9SZJ6
P59220	Q4PSU4
P59220	Q38847
P59220	Q8RYD9
P59220	Q7X9H9
P59220	Q9FJK3
P59220	Q9C5C0
P59220	Q9SND6
P59220	Q9LUI6
P59220	Q9T074
P59220	Q9FIK0
P43294	P59220
P59220	Q9LHI7
P59220	Q9LW66
P59220	Q9LV04
P27450	P59220
P59220	Q9SYS3
P59220	Q9SSC7
P59220	Q9LYL6
O65469	P59220
P59220	Q8H1D6
O49839	P59220
P59220	Q9SGN7
O48788	P59220
P59220	Q9M9C5
P59220	Q9M8T0
P59220	P93050
O04567	P59220
P59220	Q9LKA4
P59220	Q9FLV4
P59220	Q39010
P59220	Q8GY88
P59220	Q8GYF5
P59220	Q8GY11
O04336	P59220
P59220	Q9SUP6
Q8RY71	Q9SUP6
O04292	Q9SAD4
O04292	Q9FYK5
P43273	Q9SGP6
Q39140	Q9SGP6
Q56XY2	Q8W586
P24100	Q9LT08
O23654	P24100
P24100	Q6XJG8
P24100	Q84TI6
P24100	Q9SAD3
P24100	Q9LSP5
P24100	Q0WQN9
P21238	P24100
P24100	Q9SIV2
P24100	Q29Q81
P24100	Q9SJJ5
P24100	Q9SGW3
P24100	Q9M3A8
O49299	P24100
P24100	Q9FQ25
P25859	Q9SGW3
P25859	Q9SJJ5
P21238	P25859
P83483	Q9C9M7
F4JL11	Q9C9M7
Q8W5S1	Q9C9M7
Q84K40	Q9C9M7
O80345	Q9CAG1
O80345	Q9C9M7
F4JUQ2	O23249
O23249	Q9M338
O23249	Q3ECW2
O23249	P42752
O23249	Q8LG64
P42753	Q0WNX9
P42753	Q9SJJ5
P42753	Q1JPP8
Q9M384	Q9SZF7
Q7FRS8	Q9LDI3
F4IP06	Q9FHW2
F4IP06	O23628
Q7X9V2	Q9SII0
Q7X9V2	Q9C944
O23628	Q7X9V2
O22932	P19456
F4IXJ7	Q9FMP0
F4IXJ7	Q8VYB1
F4IXJ7	F4K460
F4IXJ7	Q9SR02
F4IXJ7	Q9LYW3
F4HPA7	F4IXJ7
F4IXJ7	Q9FHZ2
F4IXJ7	Q6ID77
P92948	Q949S9
P92948	Q42384
Q39008	Q9SUP6
Q8GXA4	Q9LE82
Q9FH18	Q9LE82
Q94AV5	Q9LE82
Q8GXA4	Q9FH18
Q94F62	Q9FL28
Q941L2	Q941L3
Q5S1W2	Q941L2
O04197	Q9LVI4
Q39204	Q9LVI4
Q39204	Q9LMA8
O04197	Q9LMA8
O82210	Q94AH9
Q94AH9	Q9SU94
P48349	Q8S307
P48348	Q8S307
P48347	Q8S307
Q39011	Q8S307
Q9FE22	Q9M0K4
Q8W420	Q9SQI2
Q94BT6	Q9SQI2
Q9C9W9	Q9SQI2
Q9FZK0	Q9SQI2
Q84TG5	Q9LD90
O64903	Q9LDI3
P25819	Q9LDI3
Q42547	Q9LDI3
Q700D2	Q9SZF7
Q700D2	Q9M384
Q700D2	Q9ZWA6
Q8W1E3	Q9SQI2
P46640	Q9SJ56
Q9LDI3	Q9SDS7
P11574	Q9LDI3
Q8W4E2	Q9LDI3
Q39258	Q9LDI3
Q9LDI3	Q9SZN1
O23654	Q9LDI3
Q941L0	Q94JQ6
O64682	Q9C6B8
Q7X659	Q9FJD0
Q7X659	Q9STT2
Q0WTD7	Q9STT2
Q9STT2	Q9T091
Q9FJD0	Q9STT2
O65554	Q9LTB8
Q8LEM7	Q9SEZ7
Q8LAS7	Q9SEZ7
Q93VD3	Q9LNW3
Q8GYD2	Q9ZNV8
Q8LGU6	Q9SZA4
Q8LGU6	Q9S7I8
Q4PSE4	Q8LGU6
Q3E906	Q8LGU6
Q8L3Z8	Q8LGU6
Q8LGU6	Q8VZS9
Q8LGU6	Q8LPL5
Q8LGU6	Q9ZPW2
Q06AN9	Q9ZPW2
Q8H1U5	Q8LGU6
Q06AN9	Q8H1U5
P25856	Q9LZP9
P25697	Q9LZP9
P18064	Q8H1F2
P42645	Q96299
O24646	Q9LQZ7
F4ITL6	P49333
Q9LKL2	Q9LVG4
P22953	Q9SUT5
O65719	Q9SUT5
P22954	Q9SUT5
Q9LHA8	Q9SUT5
P22953	Q9SUR9
P27323	Q9SUT5
Q9LX74	Q9ZVT7
Q9M209	Q9ZVT7
Q9FPI0	Q9ZVT7
Q9SP08	Q9ZVT7
Q94AW9	Q9ZVT7
Q9FPI0	Q9SP08
Q9M209	Q9SP08
Q94AW9	Q9SP08
O80536	Q9SLH3
O80536	Q9LQT8
Q9LF53	Q9MAA7
Q9LF53	Q9LYC1
Q940G6	Q9LF53
Q8W2F3	Q9SLH3
F4I0P8	Q9STT2
Q8L4M1	Q9M0V3
O22469	Q9M0V3
Q9M0V3	Q9SZQ5
Q38884	Q9M0V3
Q9M0V3	Q9M1E5
Q6NLV4	Q9M0V3
Q42384	Q9M0V3
Q42384	Q8LGH4
Q8H112	Q9SL05
P16972	Q8H112
P56773	Q9SL05
Q6TLJ2	Q9LYN8
Q0V7X4	Q9M1K1
Q0V7X4	Q9M1K0
Q9S7P9	Q9ZSD4
P47192	Q9S7P9
Q00958	Q39090
P43254	Q39057
Q0WPF2	Q9SR06
Q38912	Q5S2C3
Q38937	Q5S2C3
Q38902	Q5S2C3
P18064	P49177
P24636	Q6NPL9
P29513	Q6NPL9
P43254	Q9SJL7
O80673	P41151
P13114	Q96330
P51102	Q96330
Q6BDA0	Q9LN63
Q9LN63	Q9STM3
A9LNK9	Q8GUP1
A9LNK9	Q9SR06
Q93VI4	Q9LX90
Q9LMX5	Q9SJN0
Q9S7Z2	Q9SJN0
Q94F39	Q9LES3
Q9LMX5	Q9M7Q3
Q9M7Q3	Q9S7Z2
Q8H2D5	Q9M7Q7
Q8H2D5	Q9ZW35
Q9FHZ1	Q9SZF7
O24408	P93022
O24408	Q8RYC8
O82486	Q9ZSZ8
O80786	Q501D5
Q501D5	Q9FL33
P43299	Q501D5
F4KAB8	Q501D5
Q0WVF5	Q501D5
Q501D5	Q9LPD9
O04197	Q8W4J8
Q39204	Q8W4J8
O04197	Q9S7M2
P43288	Q94AH6
Q570C0	Q94AH6
Q9M086	Q9M0V3
Q8LGH4	Q9M086
O82132	Q9M9Y4
P49333	Q0WPQ2
P49333	P93825
Q39088	Q39162
Q8L7E5	Q9C500
Q8L7E5	Q9LE82
Q8GXA4	Q8L7E5
Q39011	Q94JM3
Q4PSU4	Q9FJK3
Q8W4D8	Q9SP32
O82798	Q8L9T7
Q8L9T7	Q940D0
Q9ZNV8	Q9ZWS9
O22476	Q944A7
O22476	Q8W4L3
O22315	O81127
Q1PDV2	Q9LHP2
Q1PDV2	Q8L3X8
O22315	Q1PDV2
Q1PDV2	Q9XFR5
O81127	Q1PDV2
Q8L3X8	Q9LHP2
O81127	Q8L3X8
Q8L3X8	Q9XFR5
O22315	Q8L3X8
O22315	Q9LHP2
Q9LHP2	Q9XFR5
O81127	Q9LHP2
O22315	Q8VYA5
Q1PDV2	Q9SEU4
Q8L3X8	Q9SEU4
O22467	Q9LKZ3
Q9LKB9	Q9ZRE2
O49841	Q9LKB9
Q8GWQ7	Q9M035
O22446	Q9LZV6
O22446	Q8GWF1
O24646	Q9SYM2
Q9FIG9	Q9XII1
Q9LJR3	Q9SYX2
Q94BM7	Q9SYX2
Q94BM7	Q9LJR3
O50055	Q8W575
B7U179	Q710E8
B7U179	Q9SJW9
B7U179	Q9M1S9
B7U179	Q9C758
Q9STP8	Q9SZN7
Q9LEZ3	Q9SAD4
Q9FYK5	Q9LEZ3
O04292	Q9LEZ3
O81057	Q5BPS3
P42736	Q9MA55
O64587	Q9LFD5
Q9LFD5	Q9LIC6
P34791	Q42588
Q8RXD6	Q9C895
Q9FIE3	Q9LHF5
O22467	Q9LHF5
P43291	Q94AH6
Q0WNX9	Q8W104
Q8W104	Q94CL9
Q9SEZ1	Q9SZN7
Q39008	Q94A06
Q39008	Q9S7U9
P21276	Q9FMX0
Q9FMX0	Q9LU64
Q42484	Q9SRH6
Q42484	Q8GYN5
Q6NNI8	Q9ZPS9
Q9LMX4	Q9ZPS9
Q9XI87	Q9ZPS9
Q94B55	Q9ZPS9
Q9SIN1	Q9ZPS9
Q94F57	Q9ZPS9
Q9LJP2	Q9ZPS9
Q9LU14	Q9ZPS9
Q38825	Q9ZPS9
Q9M2S7	Q9ZPS9
O24653	Q9ZPS9
P92963	Q9ZPS9
Q9LFR3	Q9ZPS9
P46690	Q9ZPS9
Q9FHS6	Q9ZPS9
P31265	Q9ZPS9
O23044	Q9ZPS9
Q8W4H8	Q9ZPS9
Q9SB81	Q9ZPS9
P19456	Q9ZPS9
Q9SV20	Q9ZPS9
P25819	Q9ZPS9
Q94A38	Q9ZPS9
P42799	Q9ZPS9
Q9MAM3	Q9ZPS9
Q9SAB3	Q9ZPS9
P42759	Q9ZPS9
Q56YA5	Q9ZPS9
Q8GW72	Q9ZPS9
O04922	Q9ZPS9
Q42580	Q9ZPS9
P43082	Q9ZPS9
Q9SCW1	Q9ZPS9
P28297	Q9ZPS9
Q8LEJ9	Q9ZPS9
Q9SMY8	Q9ZPS9
F4JKK0	Q9ZPS9
Q9SCV9	Q9ZPS9
Q07473	Q9ZPS9
P22953	Q9ZPS9
P10798	Q9ZPS9
Q9FK25	Q9ZPS9
Q6NNI8	Q9SIN1
Q41931	Q9SIN1
O49279	Q9SIN1
P30188	Q9SIN1
Q9FPS2	Q9SIN1
P31265	Q9SIN1
F4I3B3	Q9SIN1
Q9C9C5	Q9SIN1
Q39002	Q9SIN1
Q682S0	Q9SIN1
P51418	Q9SIN1
P42736	Q9SIN1
Q9FT52	Q9SIN1
Q9LYG3	Q9SIN1
P04778	Q9SIN1
P25857	Q9SIN1
Q9C533	Q9SIN1
P46689	Q9SIN1
Q9LHJ8	Q9SIN1
Q9LRX8	Q9SIN1
Q38911	Q9SIN1
Q8L856	Q9SIN1
Q0WPN8	Q9SIN1
Q84JU4	Q8GYQ5
Q8GYQ5	Q9FX43
Q8GYQ5	Q9FJV0
Q8GYQ5	Q9LPQ3
Q8GYQ5	Q94A06
Q9FVC1	Q9S7Q7
Q84JG2	Q9CAJ0
P49597	Q84JG2
O04719	Q84JG2
P49598	Q84JG2
O48845	Q9LD45
O48845	O48916
O48845	Q9SUC5
Q39253	Q93Z81
Q38869	Q9C593
O23338	Q38869
Q38869	Q94BN0
O23680	Q38869
Q38869	Q9SZY7
O23680	Q39016
O23338	Q39016
Q39016	Q9C944
Q27GK5	Q39016
Q39016	Q9ZSK4
O80800	Q39016
P60040	Q38869
Q38869	Q8RWI9
Q38869	Q9LHP1
Q39016	Q9FFR3
P18064	Q0WQG8
P18064	Q9XIP7
O81098	P18616
Q5D869	Q9M1J2
O81098	Q9LQ02
P43254	Q9FN03
Q8GYD2	Q8RX22
Q6NLW5	Q8RX22
Q9LJ68	Q9S814
Q9LJ74	Q9S814
Q9LZM1	Q9SHC8
P43273	Q96305
Q39234	Q96305
Q93ZE2	Q96305
Q96305	Q9SX27
Q39237	Q96305
Q9SZJ5	Q9ZNZ7
Q94K07	Q9SZI2
Q94K07	Q9ZUP3
Q9SZI2	Q9ZUP3
F4JEI8	Q94K07
F4JEI8	Q9ZUP3
F4JEI8	Q9SZI2
O04479	O80931
Q84JA6	Q9SWW6
Q8LPK5	Q9SWW6
Q84JA6	Q8LPK5
Q9LNC5	Q9SYP1
Q9LNC5	Q9SSD2
P55852	Q9SJN0
O49484	Q8W104
Q39204	Q9S7M2
Q39204	Q9LDU5
Q39204	Q8LBM2
Q39204	Q93ZM9
Q39204	Q9C5K8
Q39204	Q9C9E3
Q58G47	Q9LMA8
Q8LBM2	Q9LMA8
Q8W4J8	Q9LMA8
Q58G47	Q9LVI4
Q8W4J8	Q9LVI4
Q9LMA8	Q9LVI4
Q39204	Q58G47
Q39204	Q9M246
Q9LVI4	Q9S7M2
Q93ZM9	Q9LVI4
Q9LDX1	Q9SG02
P92958	Q5HZ38
P92958	Q93V58
Q5W7F2	Q8W4K5
P27323	Q38931
O80982	P27323
Q75QN6	Q9C5C0
O49686	Q9CAJ0
O49686	P49597
O04719	O49686
O80920	P49597
Q8VZS8	Q9CAJ0
O80992	Q9CAJ0
Q9CAJ0	Q9SSM7
O80920	Q9CAJ0
Q9CAJ0	Q9FLB1
Q8S8E3	Q9CAJ0
Q1ECF1	Q9CAJ0
Q8H1R0	Q9CAJ0
Q84MC7	Q9CAJ0
Q9CAJ0	Q9FJ50
Q9CAJ0	Q9FJ49
O49686	P49598
P49598	Q9SSM7
O80920	P49598
P49598	Q9FJ49
P49597	Q39192
Q39192	Q9FLI3
O49686	Q9FIF5
O80920	Q9FIF5
O04719	Q84MC7
P49597	Q84MC7
F4JW79	Q9ZVD5
Q5D869	Q9ZVD5
Q39026	Q9FKG1
Q6NLV4	Q9FGR0
F4IRU3	Q01525
P41376	Q01525
Q01525	Q39027
P46286	Q01525
P11832	Q01525
Q01525	Q9SH76
Q01525	Q9SSD1
P42730	Q01525
Q01525	Q9SYQ8
P93033	Q01525
Q01525	Q8L743
Q01525	Q9FI53
Q01525	Q43727
P42643	Q01525
Q01525	Q96299
P48347	Q01525
P48349	Q01525
P46077	Q01525
P48348	Q01525
Q01525	Q9S9Z8
P42644	Q01525
P42645	Q01525
Q01525	Q9STR4
Q01525	Q8L5Y9
Q01525	Q94F62
P49177	Q01525
Q01525	Q9SAR0
P43299	Q01525
Q01525	Q9M0Y8
P29511	Q01525
Q01525	Q9STL4
Q01525	Q08466
P51566	Q01525
P49077	Q01525
Q01525	Q39190
Q01525	Q9M2P4
P55737	Q01525
P29516	Q01525
Q01525	Q9FJX2
Q01525	Q9LZF6
O22476	Q01525
Q01525	Q06850
P22954	Q01525
Q01525	Q9FE20
P53492	Q01525
P40941	Q01525
Q9SIU2	Q9XFD1
P55737	Q9SUT5
P93002	Q9ZVH4
Q39024	Q9FJV0
O80396	Q39021
O80396	Q39022
Q39022	Q9LPQ3
O80397	Q39023
O80397	Q39026
Q39026	Q8RXG3
Q39026	Q9FJV0
O80396	Q39027
Q9M1Z5	Q9S7U9
Q9FX43	Q9M1Z5
Q94A06	Q9LMM5
Q9LMM5	Q9S7U9
Q9FJV0	Q9LMM5
Q9LQQ9	Q9S7U9
O23236	O80396
Q9C9U4	Q9LPQ3
Q84M93	Q9FX43
Q9FX43	Q9SJG9
Q84M93	Q9LQM8
Q39026	Q9FX43
O48963	P48349
O82132	Q8RY59
O82133	Q8RY59
Q8LFR2	Q8RY59
Q8RY59	Q9LUA9
O80931	Q8RY59
Q6F6B5	Q8VY16
O04153	O22476
Q94F62	Q9ASS4
Q9ASS4	Q9SKG5
Q9ASS4	Q9XIC7
Q94AG2	Q9ASS4
Q9CAJ0	Q9FGM1
Q42384	Q949S9
P92948	Q94BR4
P49597	Q9SAR0
O48538	Q940H6
Q9SVG9	Q9ZPX9
F4K210	O49160
Q93ZE8	Q9LZK5
Q9LKR3	Q9LZK5
Q39043	Q9LZK5
Q8H1B3	Q9LZK5
Q8H1B3	Q9SR96
Q9LKR3	Q9SR96
Q05085	Q93VD3
P49333	Q9S814
F4JUL9	Q9SAF1
P49597	Q39193
Q39192	Q9FIF5
Q39193	Q9ZW21
Q39192	Q9CAJ0
Q39192	Q9LNP9
P49598	Q39192
P49597	Q9M9E9
Q39193	Q9FIF5
Q39192	Q9ZW21
Q39192	Q9LNW3
Q39193	Q9LNP9
P49598	Q39193
Q39193	Q9FLI3
Q940H6	Q9FIF5
Q9FLI3	Q9M9E9
C6KIE6	P49177
Q8H1E4	Q8L765
Q8L765	Q9LM15
Q1EBV6	Q8H1E4
A1L4W5	Q8H1E4
Q8H1E4	Q9SRV1
O65665	Q8L765
Q8GWE6	Q9CAF4
F4IUY8	Q8GWE6
Q8GWE6	Q9FL96
F4IUY8	F4JAU2
F4IUY8	O82659
F4JAU2	Q8GWE6
F4JAU2	O82659
F4JAU2	O23184
O23184	Q9FL96
Q9FL96	Q9LNU4
Q9FL96	Q9LQR8
Q9LNU4	Q9XIR8
Q9LQR8	Q9XIR8
Q84LH8	Q9FE22
Q8W2F3	Q9FE22
P49597	Q8VZS8
P49597	Q9FGM1
P49597	Q9FLB1
P49597	Q8S8E3
P49597	Q1ECF1
P49597	Q9SIV2
P49597	Q8H1R0
Q38931	Q9FJL3
O80992	P49597
Q940H6	Q9CAJ0
P49597	Q9SSM7
Q940H6	Q9M7Q4
Q39193	Q9CAJ0
Q940H6	Q9LD83
P49598	Q940H6
P49598	Q9LD83
Q6A333	Q9SRH9
Q9FFY9	Q9SRH9
O48814	Q9FL28
O48814	Q94F62
Q38822	Q9ZR12
Q38822	Q9LW29
P55034	Q9SII8
O48726	Q9SII8
P55034	Q84L33
O82794	Q9SL42
O64645	Q9SL42
O49413	Q9LN63
Q9C5K8	Q9SV55
Q9S7M2	Q9SV55
Q94AI7	Q9SV55
Q9FIP9	Q9LMA8
Q9C5K8	Q9LMA8
Q9LMA8	Q9SV55
Q9M246	Q9SV55
Q8W4J8	Q9SV55
Q94AI7	Q94F39
Q8LBM2	Q9SV55
Q93ZM9	Q9SV55
Q58G47	Q9SV55
Q8GY55	Q9SV55
Q9LDU5	Q9SV55
Q9C9E3	Q9SV55
Q84MB2	Q9SV55
Q9LD83	Q9ZSA2
Q38872	Q9LD83
Q9LD83	Q9M101
P49597	Q9ZSA2
P49597	Q9M101
P48349	Q8L7S9
O81147	Q8L7S9
O81148	Q8L7S9
Q38900	Q8L7S9
O23715	Q8L7S9
Q8L7S9	Q9XI01
P34790	Q8L7S9
O81146	Q8L7S9
O78310	Q8L7S9
Q8L7S9	Q9XEX2
P39207	Q8L7S9
P48491	Q8L7S9
Q6LA42	Q9LKL2
Q8L500	Q9LKL2
Q9LUJ3	Q9M548
Q9LUJ3	Q9ZVD5
O04492	Q9ZVD0
F4I0K2	Q9M7X9
Q9M394	Q9M7X9
F4JCU0	O23212
P47998	Q9MAX3
D5K228	Q9SE37
P43254	Q8W4J9
Q8GY61	Q96524
P43254	P93025
O04350	P29517
P42818	Q9FV71
Q8S8N6	Q9SCU7
Q94BQ2	Q9SIV2
Q9FIB6	Q9SIV2
O24412	Q9SIV2
Q8RWF0	Q9SIV2
Q9MAK9	Q9SIV2
Q9LNU4	Q9SIV2
Q93Y35	Q9SIV2
Q8GYA6	Q9SIV2
Q9MAT0	Q9SIV2
Q9C774	Q9SIV2
Q9SIV2	Q9SL67
Q9SEI2	Q9SIV2
Q9LP45	Q9SIV2
O48844	Q9SIV2
Q9SIV2	Q9SSB5
Q9SEI4	Q9SIV2
Q9LT08	Q9SIV2
Q9M2R1	Q9ZPW2
Q8H1U5	Q9ZPW2
Q9FFF9	Q9ZPW2
B3DNN5	Q9ZPW2
Q9STS3	Q9ZPW2
Q8H1U5	Q9FFF9
B3DNN5	Q8H1U5
Q8H1U4	Q9STS3
B3DNN5	Q9STS3
Q9FFF9	Q9STS3
F4I241	P28769
Q9C5G0	Q9LJN8
P28769	Q9LJN8
Q8VZS9	Q9SJJ5
B3DNN5	Q8VZS9
Q8VZS9	Q9STS3
Q8H1U4	Q8VZS9
Q8VZS9	Q9FFF9
Q8H1U4	Q8L3Z8
Q8L3Z8	Q9STS3
P28769	Q8L3Z8
Q8L3Z8	Q9SF16
Q84WV1	Q8L3Z8
Q8L3Z8	Q9FFF9
Q8LPL5	Q9M2R1
Q8LPL5	Q9SJJ5
Q8H1U5	Q8LPL5
Q8LPL5	Q9FFF9
Q8H1U4	Q8LPL5
Q8LPL5	Q9STS3
B3DNN5	Q8LPL5
Q84WV1	Q8LPL5
O48533	Q8LPL5
Q84WV1	Q9SZA4
Q9FFF9	Q9SZA4
O48533	Q9SZA4
Q8H1U5	Q9SZA4
Q9M2R1	Q9SZA4
Q8H1U4	Q9SZA4
Q9STS3	Q9SZA4
Q84WV1	Q9S7H3
Q9S7H3	Q9SF16
P28769	Q9S7H3
B3DNN5	Q8LGU6
Q8LGU6	Q9FFF9
Q8H1U4	Q8LGU6
Q8LGU6	Q9STS3
P24100	Q9LIA8
F4JL11	P24100
P24100	Q41969
Q2V419	Q9SJJ5
Q2V419	Q8LPJ4
Q8LF80	Q9SJJ5
Q42581	Q9C9M7
Q8W4M7	Q9C9M7
O64888	Q9C9M7
Q42583	Q9C9M7
Q8W5S1	Q9LMT0
Q8RWV3	Q9FGW5
Q9CAG1	Q9SR03
Q8RWV3	Q9CAG1
Q9LUW6	Q9SJJ5
P25859	Q39071
O23249	Q38819
P24100	Q3ECW2
Q3ECW2	Q9SJJ5
A0MEB5	P24100
A0MEB5	Q9SJJ5
A0MEB5	O23249
P30183	Q8LG64
P30183	Q8LF80
Q39067	Q9SJJ5
Q39067	Q8LG64
O23249	Q39067
Q39067	Q93Y35
P25859	Q39067
P25859	Q9SFW6
O23249	Q9SFW6
Q9SFW6	Q9SJJ5
P42752	Q9SJJ5
P42752	Q8GYJ3
P25859	Q9SA32
Q9SJJ5	Q9SN11
P24100	Q9SN11
Q9FGQ7	Q9SJJ5
P24100	Q9FGQ7
Q8LGA1	Q9SJJ5
Q0WQN9	Q94CL9
Q0WNX9	Q0WQN9
O23249	Q0WQN9
Q0WQN9	Q9LRY0
Q0WQN9	Q9SJJ5
Q0WQN9	Q8GYJ3
Q0WQN9	Q9FKB5
Q8GYJ3	Q9ZR04
P24100	Q9ZR04
O23249	Q9ZR04
O23249	Q2V3B2
P24100	Q2V3B2
Q2V3B2	Q9SJJ5
Q9FNY2	Q9LKZ3
Q9FNY0	Q9LKZ3
Q9FV70	Q9LKZ3
Q9LG23	Q9SCR2
O23249	Q9SCR2
Q2V3B2	Q9SCR2
Q9SCR2	Q9SJJ5
Q0WQN9	Q9SCR2
O23249	Q9FKB5
P42752	Q9FKB5
Q9FKB5	Q9SJJ5
Q9FKB5	Q9ZR04
P42752	Q9LRY0
P42752	Q0WNX9
